genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
AtH2023_SRR8655118_MAG31.fasta,1_1,0.010000000000000009,average,fastANI,1
SRR8655112_MAG18.fasta,1_1,0.010000000000000009,average,fastANI,1
AtH2023_SRR19906118_MAG08.fasta,2_0,0.010000000000000009,average,fastANI,2
AtH2023_SRR19906118_MAG11.fasta,3_0,0.010000000000000009,average,fastANI,3
AtH2023_SRR22460727_MAG4.fasta,4_1,0.010000000000000009,average,fastANI,4
AtH2023_SRR22460729_MAG1.fasta,4_1,0.010000000000000009,average,fastANI,4
AtH2023_ERR1135179_MAG6.fasta,4_2,0.010000000000000009,average,fastANI,4
AtH2023_ERR1135220_MAG7.fasta,4_3,0.010000000000000009,average,fastANI,4
AtH2023_SRR11124893_MAG7.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR11125088_MAG2.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR11126219_MAG1.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR11183496_MAG2.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR11183776_MAG3.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR11183878_MAG6.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR11185229_MAG16.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR8960200_MAG24.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR8960633_MAG13.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR8960643_MAG13.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR8960715_MAG06.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR8960729_MAG10.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR8960794_MAG17.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR8960827_MAG17.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR8960911_MAG11.fasta,4_4,0.010000000000000009,average,fastANI,4
AtH2023_SRR17241646_MAG36.fasta,4_5,0.010000000000000009,average,fastANI,4
AtH2023_SRR17241681_MAG28.fasta,4_5,0.010000000000000009,average,fastANI,4
AtH2023_SRR17241642_MAG43.fasta,4_6,0.010000000000000009,average,fastANI,4
AtH2023_SRR14369150_MAG06.fasta,5_1,0.010000000000000009,average,fastANI,5
AtH2023_SRR21357861_MAG10.fasta,5_1,0.010000000000000009,average,fastANI,5
AtH2023_SRR21357876_MAG10.fasta,5_1,0.010000000000000009,average,fastANI,5
AtH2023_SRR12795745_MAG2.fasta,5_2,0.010000000000000009,average,fastANI,5
AtH2023_SRR14369131_MAG11.fasta,5_2,0.010000000000000009,average,fastANI,5
AtH2023_SRR17241691_MAG32.fasta,5_3,0.010000000000000009,average,fastANI,5
AtH2023_SRR11489784_MAG19.fasta,6_1,0.010000000000000009,average,fastANI,6
AtH2023_SRR11489792_MAG05.fasta,6_1,0.010000000000000009,average,fastANI,6
AtH2023_SRR11489788_MAG02.fasta,6_2,0.010000000000000009,average,fastANI,6
AtH2023_SRR21357815_MAG24.fasta,6_2,0.010000000000000009,average,fastANI,6
AtH2023_SRR14369194_MAG01.fasta,6_3,0.010000000000000009,average,fastANI,6
AtH2023_ERR1135220_MAG6.fasta,6_4,0.010000000000000009,average,fastANI,6
AtH2023_SRR21357596_MAG1.fasta,7_0,0.010000000000000009,average,fastANI,7
AtH2023_SRR17241527_MAG06.fasta,8_1,0.010000000000000009,average,fastANI,8
AtH2023_SRR8960864_MAG08.fasta,8_2,0.010000000000000009,average,fastANI,8
AtH2023_SRR17241533_MAG11.fasta,8_3,0.010000000000000009,average,fastANI,8
AtH2023_ERR1135214_MAG02.fasta,9_1,0.010000000000000009,average,fastANI,9
AtH2023_ERR1135216_MAG5.fasta,9_1,0.010000000000000009,average,fastANI,9
AtH2023_ERR1135217_MAG06.fasta,9_1,0.010000000000000009,average,fastANI,9
AtH2023_ERR1135218_MAG02.fasta,9_1,0.010000000000000009,average,fastANI,9
AtH2023_ERR1135250_MAG04.fasta,9_1,0.010000000000000009,average,fastANI,9
