genome,completeness,contamination,length,N50
AtH2023_ERR1135178_MAG1.fasta,84.52,4.61,2377815.0,28314.0
AtH2023_ERR1135178_MAG2.fasta,94.68,5.45,2832788.0,21494.0
AtH2023_ERR1135178_MAG3.fasta,96.03,1.56,2368083.0,22660.0
AtH2023_ERR1135178_MAG4.fasta,92.88,0.41,2287464.0,14853.0
AtH2023_ERR1135178_MAG5.fasta,84.25,0.51,2207227.0,9390.0
AtH2023_ERR1135178_MAG6.fasta,97.32,0.2,2562873.0,11736.0
AtH2023_ERR1135178_MAG7.fasta,83.88,2.05,1255751.0,5005.0
AtH2023_ERR1135178_MAG8.fasta,81.6,0.32,2069939.0,11856.0
AtH2023_ERR1135179_MAG1.fasta,85.33,3.81,1747899.0,7513.0
AtH2023_ERR1135179_MAG2.fasta,94.39,0.69,2946759.0,20128.0
AtH2023_ERR1135179_MAG3.fasta,86.71,1.5,2355251.0,18685.0
AtH2023_ERR1135179_MAG4.fasta,84.05,0.36,2233927.0,24001.0
AtH2023_ERR1135179_MAG5.fasta,84.85,1.65,1395491.0,6102.0
AtH2023_ERR1135179_MAG6.fasta,99.21,0.16,1066725.0,78338.0
AtH2023_ERR1135179_MAG7.fasta,86.61,1.36,1639794.0,8411.0
AtH2023_ERR1135179_MAG8.fasta,84.41,0.02,1870248.0,28343.0
AtH2023_ERR1135180_MAG1.fasta,94.59,0.0,871814.0,92691.0
AtH2023_ERR1135180_MAG2.fasta,76.31,0.98,1866869.0,7330.0
AtH2023_ERR1135180_MAG3.fasta,83.81,3.34,2778967.0,24276.0
AtH2023_ERR1135180_MAG4.fasta,70.07,1.07,1129110.0,5552.0
AtH2023_ERR1135180_MAG5.fasta,73.84,1.42,1837511.0,16586.0
AtH2023_ERR1135180_MAG6.fasta,99.69,0.61,2963058.0,53452.0
AtH2023_ERR1135180_MAG7.fasta,97.05,0.4,888801.0,26864.0
AtH2023_ERR1135181_MAG01.fasta,92.85,1.29,2933871.0,34730.0
AtH2023_ERR1135181_MAG02.fasta,76.55,1.73,1643283.0,11427.0
AtH2023_ERR1135181_MAG03.fasta,89.14,1.96,1510805.0,6398.0
AtH2023_ERR1135181_MAG04.fasta,87.61,2.13,3059240.0,7228.0
AtH2023_ERR1135181_MAG05.fasta,91.96,1.96,3065562.0,18615.0
AtH2023_ERR1135181_MAG06.fasta,88.21,2.14,1474856.0,6286.0
AtH2023_ERR1135181_MAG07.fasta,83.55,0.09,2550834.0,14874.0
AtH2023_ERR1135181_MAG08.fasta,94.73,0.31,1872739.0,13703.0
AtH2023_ERR1135181_MAG09.fasta,88.34,0.0,2713304.0,44031.0
AtH2023_ERR1135181_MAG10.fasta,81.01,1.73,1561077.0,10692.0
AtH2023_ERR1135181_MAG11.fasta,98.94,0.0,885517.0,24198.0
AtH2023_ERR1135181_MAG12.fasta,87.19,1.29,2267428.0,19282.0
AtH2023_ERR1135181_MAG13.fasta,85.52,0.0,2365766.0,31523.0
AtH2023_ERR1135181_MAG14.fasta,86.35,2.52,1313980.0,5075.0
AtH2023_ERR1135181_MAG15.fasta,90.91,0.79,2274142.0,19563.0
AtH2023_ERR1135182_MAG1.fasta,98.74,0.0,2235471.0,44514.0
AtH2023_ERR1135182_MAG2.fasta,94.34,0.14,1760855.0,21157.0
AtH2023_ERR1135182_MAG3.fasta,84.94,0.07,2562891.0,33229.0
AtH2023_ERR1135182_MAG4.fasta,96.67,1.13,2237824.0,12212.0
AtH2023_ERR1135182_MAG5.fasta,92.83,1.15,2648863.0,27666.0
AtH2023_ERR1135182_MAG6.fasta,87.64,0.58,1643332.0,5460.0
AtH2023_ERR1135182_MAG7.fasta,95.73,3.06,1957743.0,9913.0
AtH2023_ERR1135182_MAG8.fasta,91.63,0.44,3002979.0,25980.0
AtH2023_ERR1135183_MAG1.fasta,98.48,0.06,2073118.0,52390.0
AtH2023_ERR1135183_MAG2.fasta,90.88,0.04,2514828.0,27189.0
AtH2023_ERR1135183_MAG3.fasta,82.5,0.76,1920437.0,17877.0
AtH2023_ERR1135183_MAG4.fasta,91.09,0.34,1412751.0,18557.0
AtH2023_ERR1135183_MAG5.fasta,99.92,0.94,3386006.0,40407.0
AtH2023_ERR1135183_MAG6.fasta,99.79,0.77,2972228.0,48926.0
AtH2023_ERR1135183_MAG7.fasta,87.51,1.17,2641911.0,16796.0
AtH2023_ERR1135183_MAG8.fasta,69.71,0.02,852865.0,29656.0
AtH2023_ERR1135183_MAG9.fasta,95.31,0.0,827198.0,124104.0
AtH2023_ERR1135184_MAG01.fasta,89.57,3.28,2479214.0,9697.0
AtH2023_ERR1135184_MAG02.fasta,82.47,2.77,1951987.0,8199.0
AtH2023_ERR1135184_MAG03.fasta,82.75,1.03,1408558.0,7296.0
AtH2023_ERR1135184_MAG04.fasta,84.58,0.07,2534956.0,24885.0
AtH2023_ERR1135184_MAG05.fasta,86.68,0.33,2614068.0,22739.0
AtH2023_ERR1135184_MAG06.fasta,76.52,0.25,1340166.0,10079.0
AtH2023_ERR1135184_MAG07.fasta,98.24,0.71,1907302.0,30168.0
AtH2023_ERR1135184_MAG08.fasta,99.21,0.01,1536020.0,15109.0
AtH2023_ERR1135184_MAG09.fasta,86.95,0.0,2613519.0,40130.0
AtH2023_ERR1135184_MAG10.fasta,89.06,0.34,2305209.0,13804.0
AtH2023_ERR1135185_MAG1.fasta,87.98,4.86,3036271.0,7068.0
AtH2023_ERR1135185_MAG2.fasta,82.64,0.19,2495168.0,24512.0
AtH2023_ERR1135185_MAG3.fasta,80.01,1.04,2575631.0,7345.0
AtH2023_ERR1135185_MAG4.fasta,91.41,1.6,2501776.0,10370.0
AtH2023_ERR1135185_MAG5.fasta,82.69,0.1,2304406.0,8582.0
AtH2023_ERR1135185_MAG6.fasta,91.73,0.04,2539122.0,32775.0
AtH2023_ERR1135185_MAG7.fasta,99.75,0.32,1663534.0,22259.0
AtH2023_ERR1135186_MAG1.fasta,90.25,0.14,2565933.0,26894.0
AtH2023_ERR1135186_MAG2.fasta,52.13,0.1,1162004.0,15931.0
AtH2023_ERR1135186_MAG3.fasta,91.69,1.28,2344768.0,8012.0
AtH2023_ERR1135186_MAG4.fasta,91.89,0.28,2399824.0,12046.0
AtH2023_ERR1135186_MAG5.fasta,92.41,0.01,1617982.0,15197.0
AtH2023_ERR1135186_MAG6.fasta,85.18,1.79,1530642.0,16697.0
AtH2023_ERR1135186_MAG7.fasta,81.9,0.38,2054409.0,17881.0
AtH2023_ERR1135186_MAG8.fasta,89.43,4.92,2476525.0,28529.0
AtH2023_ERR1135186_MAG9.fasta,94.86,0.27,1970540.0,20390.0
AtH2023_ERR1135187_MAG01.fasta,99.07,0.58,1413834.0,39749.0
AtH2023_ERR1135187_MAG02.fasta,90.19,3.27,1768712.0,11515.0
AtH2023_ERR1135187_MAG03.fasta,84.39,4.75,2656198.0,8039.0
AtH2023_ERR1135187_MAG04.fasta,84.97,1.76,2008000.0,8404.0
AtH2023_ERR1135187_MAG05.fasta,86.95,1.01,2580678.0,12258.0
AtH2023_ERR1135187_MAG06.fasta,99.47,0.91,3290675.0,27975.0
AtH2023_ERR1135187_MAG07.fasta,90.82,2.06,1286491.0,8152.0
