Bin Id	Completeness	Completeness_General	Contamination	Completeness_Specific	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	Quality_score	Sample	Ambigious_bases	Length_contigs	Length_scaffolds	N50	N_contigs	N_scaffolds	logN50
AtH2023_ERR1135178_MAG1	84.52	87.18	4.61	84.52	Neural Network (Specific Model)	11	0.888	28314	355.57647652700655	2377815	0.46	1981	None	61.47	ERR1135178	0	2377815	2377815	28314	189	189	10.251111660954445
AtH2023_ERR1135178_MAG2	94.68	94.68	5.45	90.42	Gradient Boost (General Model)	11	0.88	21494	297.42821428571426	2832788	0.56	2800	None	67.43	ERR1135178	0	2832788	2832788	21494	290	290	9.9755291054011
AtH2023_ERR1135178_MAG3	96.03	95.17	1.56	96.03	Neural Network (Specific Model)	11	0.878	22660	316.0665148063781	2368083	0.51	2195	None	88.23	ERR1135178	0	2368083	2368083	22660	179	179	10.028356534581995
AtH2023_ERR1135178_MAG4	92.88	92.88	0.41	83.32	Gradient Boost (General Model)	11	0.927	14853	365.101083032491	2287464	0.53	1939	None	90.83	ERR1135178	0	2287464	2287464	14853	220	220	9.605957144029531
AtH2023_ERR1135178_MAG5	84.25	93.1	0.51	84.25	Neural Network (Specific Model)	11	0.902	9390	342.3614830072091	2207227	0.51	1942	None	81.7	ERR1135178	0	2207227	2207227	9390	318	318	9.147400572202308
AtH2023_ERR1135178_MAG6	97.32	97.32	0.2	90.22	Gradient Boost (General Model)	11	0.869	11736	337.20136054421766	2562873	0.48	2205	None	96.32	ERR1135178	0	2562873	2562873	11736	301	301	9.370416319822818
AtH2023_ERR1135178_MAG7	83.88	83.88	2.05	77.26	Gradient Boost (General Model)	11	0.876	5005	252.88919476944253	1255751	0.59	1453	None	73.63	ERR1135178	0	1255751	1255751	5005	308	308	8.518192691749322
AtH2023_ERR1135178_MAG8	81.6	91.77	0.32	81.6	Neural Network (Specific Model)	11	0.883	11856	349.0876288659793	2069939	0.52	1746	None	80.0	ERR1135178	0	2069939	2069939	11856	245	245	9.380589347535867
AtH2023_ERR1135179_MAG1	85.33	88.33	3.81	85.33	Neural Network (Specific Model)	11	0.895	7513	257.3509117792016	1747899	0.35	2029	None	66.28	ERR1135179	0	1747899	1747899	7513	390	390	8.92439013236916
AtH2023_ERR1135179_MAG2	94.39	95.59	0.69	94.39	Neural Network (Specific Model)	11	0.891	20128	315.55183585313176	2946759	0.39	2778	None	90.94	ERR1135179	0	2946759	2946759	20128	227	227	9.909867159500168
AtH2023_ERR1135179_MAG3	86.71	90.57	1.5	86.71	Neural Network (Specific Model)	11	0.893	18685	340.5652595827268	2355251	0.46	2061	None	79.21	ERR1135179	0	2355251	2355251	18685	190	190	9.835476341919584
AtH2023_ERR1135179_MAG4	84.05	93.94	0.36	84.05	Neural Network (Specific Model)	11	0.909	24001	329.7349221789883	2233927	0.41	2056	None	82.25	ERR1135179	0	2233927	2233927	24001	135	135	10.085850775128716
AtH2023_ERR1135179_MAG5	84.85	92.64	1.65	84.85	Neural Network (Specific Model)	11	0.895	6102	266.30057434588383	1395491	0.39	1567	None	76.6	ERR1135179	0	1395491	1395491	6102	277	277	8.716371865276615
AtH2023_ERR1135179_MAG6	99.21	100.0	0.16	99.21	Neural Network (Specific Model)	11	0.91	78338	352.4104234527687	1066725	0.42	921	None	98.41	ERR1135179	0	1066725	1066725	78338	25	25	11.268788077151784
AtH2023_ERR1135179_MAG7	86.61	81.98	1.36	86.61	Neural Network (Specific Model)	11	0.894	8411	289.71995263469506	1639794	0.45	1689	None	79.81	ERR1135179	0	1639794	1639794	8411	267	267	9.037295651962438
AtH2023_ERR1135179_MAG8	84.41	95.38	0.02	84.41	Neural Network (Specific Model)	11	0.934	28343	333.6405266170578	1870248	0.38	1747	None	84.31	ERR1135179	0	1870248	1870248	28343	111	111	10.252135365087474
AtH2023_ERR1135180_MAG1	94.59	94.59	0.0	87.03	Gradient Boost (General Model)	11	0.902	92691	318.2909090909091	871814	0.45	825	None	94.59	ERR1135180	0	871814	871814	92691	16	16	11.43702665946202
AtH2023_ERR1135180_MAG2	76.31	93.43	0.98	76.31	Neural Network (Specific Model)	11	0.922	7330	315.31596269884807	1866869	0.44	1823	None	71.41	ERR1135180	0	1866869	1866869	7330	336	336	8.899730794880696
AtH2023_ERR1135180_MAG3	83.81	88.72	3.34	83.81	Neural Network (Specific Model)	11	0.885	24276	326.62768496420045	2778967	0.48	2514	None	67.11	ERR1135180	0	2778967	2778967	24276	234	234	10.097243486955746
AtH2023_ERR1135180_MAG4	70.07	82.28	1.07	70.07	Neural Network (Specific Model)	11	0.906	5552	274.9444891391794	1129110	0.41	1243	None	64.72	ERR1135180	0	1129110	1129110	5552	254	254	8.62191350218664
AtH2023_ERR1135180_MAG5	73.84	73.84	1.42	72.86	Gradient Boost (General Model)	11	0.916	16586	314.903081232493	1837511	0.36	1785	None	66.74000000000001	ERR1135180	0	1837511	1837511	16586	149	149	9.71631424501115
AtH2023_ERR1135180_MAG6	99.69	95.82	0.61	99.69	Neural Network (Specific Model)	11	0.892	53452	325.7004795278495	2963058	0.39	2711	None	96.64	ERR1135180	0	2963058	2963058	53452	101	101	10.886539333900952
AtH2023_ERR1135180_MAG7	97.05	97.05	0.4	94.28	Gradient Boost (General Model)	11	0.894	26864	310.93552168815944	888801	0.46	853	None	95.05	ERR1135180	0	888801	888801	26864	52	52	10.198542379317322
AtH2023_ERR1135181_MAG01	92.85	92.91	1.29	92.85	Neural Network (Specific Model)	11	0.891	34730	316.39688292859734	2933871	0.39	2759	None	86.39999999999999	ERR1135181	0	2933871	2933871	34730	179	179	10.45535914573812
AtH2023_ERR1135181_MAG02	76.55	93.83	1.73	76.55	Neural Network (Specific Model)	11	0.923	11427	329.32748538011697	1643283	0.47	1539	None	67.89999999999999	ERR1135181	0	1643283	1643283	11427	223	223	9.343734255146714
